id,baseMean,log2FoldChange,pvalue,padj
ENSDARG00000037358,1121.731669,-0.146489004,0.190870079,0.53901287
ENSDARG00000030633,228.7451629,0.176067743,0.19091674,0.539069925
ENSDARG00000076333,63.76337055,0.281593437,0.190961597,NA
ENSDARG00000096412,53.26016697,0.29595423,0.191007703,NA
ENSDARG00000021444,24.96817493,0.293307355,0.191079769,NA
ENSDARG00000026967,3539.535503,-0.111861629,0.191138851,0.539418683
ENSDARG00000078249,321.6836361,-0.14290583,0.191146602,0.539418683
ENSDARG00000092709,88.28874143,-0.261298779,0.191153692,NA
ENSDARG00000017494,209.4458415,0.237857606,0.191165999,0.539418683
ENSDARG00000012995,222.9924555,-0.188109382,0.19117058,0.539418683
ENSDARG00000059711,1363.635061,-0.251804395,0.191172629,0.539418683
ENSDARG00000055099,1294.101597,0.210328679,0.191233301,0.539515163
ENSDARG00000079967,1420.017444,-0.122251462,0.191293048,0.539609007
ENSDARG00000062248,1055.856542,-0.113987703,0.191352991,0.539645915
ENSDARG00000044813,662.0782462,0.163503781,0.191377333,0.539645915
ENSDARG00000068934,215.1184099,0.167987697,0.191410128,0.539645915
ENSDARG00000060861,508.736566,-0.165186882,0.191412075,0.539645915
ENSDARG00000013542,2006.813597,-0.135622598,0.191539635,0.539667231
ENSDARG00000077383,5734.493809,0.077886342,0.191540733,0.539667231
ENSDARG00000070822,5268.457104,-0.21804546,0.191555952,0.539667231
ENSDARG00000042929,318.7217222,-0.153347971,0.19155841,0.539667231
ENSDARG00000040930,3194.282063,-0.146015045,0.191564201,0.539667231
ENSDARG00000045874,671.3036783,-0.160335986,0.191578556,0.539667231
ENSDARG00000017853,281.9952533,-0.165605089,0.191654499,0.539806528
ENSDARG00000042627,1536.572338,0.175601906,0.19171454,0.539853834
ENSDARG00000020072,6980.411534,-0.09327156,0.191724287,0.539853834
ENSDARG00000042617,1205.154505,-0.191987964,0.19175117,0.539854923
ENSDARG00000034207,77.06917077,0.269335894,0.191795384,NA
ENSDARG00000032970,13403.88783,-0.072667726,0.191832927,0.539999913
ENSDARG00000084628,14.78281677,-0.284989148,0.191852618,NA
ENSDARG00000002909,1816.723256,-0.141702388,0.191864223,0.539999913
ENSDARG00000058842,2510.449136,-0.110889423,0.191882178,0.539999913
ENSDARG00000058988,97.91432817,0.220168532,0.191976676,0.540134349
ENSDARG00000088025,1160.793028,-0.192491199,0.192007249,0.540134349
ENSDARG00000089377,51.23942211,-0.289740848,0.192033695,NA
ENSDARG00000035187,2573.855361,-0.085480999,0.192098824,0.540134349
ENSDARG00000053854,98.03767661,0.276624924,0.192123459,0.540134349
ENSDARG00000004306,417.388088,-0.167840828,0.192127709,0.540134349
ENSDARG00000042825,835.1319266,0.210439599,0.192127829,0.540134349
ENSDARG00000059604,1354.50964,0.116535353,0.192145464,0.540134349
ENSDARG00000090946,310.0409696,0.169570772,0.19216579,0.540134349
ENSDARG00000054510,505.0545331,0.180307252,0.192168535,0.540134349
ENSDARG00000081424,12.14391065,-0.288822727,0.192262676,NA
ENSDARG00000042835,1171.623302,-0.11396397,0.192286898,0.540333501
ENSDARG00000059682,215.7352629,0.207795173,0.192292428,0.540333501
ENSDARG00000002217,792.2470181,0.149375282,0.192345604,0.540408395
ENSDARG00000095208,60.19944362,0.288155302,0.192375014,NA
ENSDARG00000089327,34.97134125,0.287990024,0.192378034,NA
ENSDARG00000062278,184.2122166,-0.297005891,0.192388364,0.540425199
ENSDARG00000030791,238.3288453,0.161109564,0.192433262,0.540425199
ENSDARG00000007277,210.9691887,0.216287512,0.192439125,0.540425199
ENSDARG00000062019,1664.394396,0.188537852,0.192457681,0.540425199
ENSDARG00000092015,114.4483632,-0.196796258,0.192529316,0.540551854
ENSDARG00000095608,66.4410386,0.269781506,0.192557595,NA
ENSDARG00000012667,900.432836,0.162927949,0.192676799,0.540891399
ENSDARG00000080172,40.86381357,-0.270011684,0.192679205,NA
ENSDARG00000043912,29.18124013,0.294839073,0.192770042,NA
ENSDARG00000087229,1600.689938,0.164466812,0.192795035,0.541148759
ENSDARG00000090433,65.56606794,-0.254867158,0.192841858,NA
ENSDARG00000025549,1349.050978,-0.172604345,0.192860497,0.541217397
ENSDARG00000042793,1229.650917,0.158330646,0.192880166,0.541217397
ENSDARG00000060442,1351.911484,0.124043647,0.19300207,0.541217397
ENSDARG00000074721,246.7097918,-0.222596946,0.193011348,0.541217397
ENSDARG00000078694,611.9145558,0.146240954,0.193019651,0.541217397
ENSDARG00000016739,144.0015335,0.252019638,0.193028247,0.541217397
ENSDARG00000062573,481.1397623,0.174806941,0.193050399,0.541217397
ENSDARG00000043593,700.2635518,-0.124619945,0.193050481,0.541217397
ENSDARG00000015167,6697.636944,-0.219704292,0.193058554,0.541217397
ENSDARG00000093699,218.9703067,0.282160021,0.193096418,0.541249073
ENSDARG00000089692,78.86244902,0.293374738,0.193131036,NA
ENSDARG00000055343,179.2123481,0.181064987,0.193153083,0.541333433
ENSDARG00000062418,857.8787672,-0.153396281,0.193196984,0.541382003
ENSDARG00000003035,10822.71124,-0.228061935,0.193264719,0.541497338
ENSDARG00000090341,19.24615281,-0.278988655,0.193334772,NA
ENSDARG00000077982,1417.877943,-0.278597484,0.193347571,0.541520385
ENSDARG00000014891,1187.17691,0.16005746,0.193351698,0.541520385
ENSDARG00000062083,552.2346733,-0.112585328,0.193352677,0.541520385
ENSDARG00000073896,87.38519023,0.240081319,0.193362754,NA
ENSDARG00000076624,1901.589123,0.089687054,0.193459895,0.541746201
ENSDARG00000038159,1398.97217,-0.089850095,0.193492044,0.541761769
ENSDARG00000003822,121.1582036,0.237537816,0.193529526,0.541792264
ENSDARG00000043046,1609.895717,0.105932962,0.193559966,0.541803038
ENSDARG00000090722,36786.79651,0.242578099,0.193649058,0.541977961
ENSDARG00000088680,10.97688312,0.275671038,0.193734213,NA
ENSDARG00000092662,17.29142275,-0.295965421,0.193791465,NA
ENSDARG00000021678,32.95221996,0.293428201,0.193795182,NA
ENSDARG00000029368,569.9160931,0.192543897,0.193799534,0.542302772
ENSDARG00000056248,26669.0916,0.239675451,0.193834818,0.542302772
ENSDARG00000005536,1672.643668,-0.139835026,0.193844961,0.542302772
ENSDARG00000096467,22.49146197,-0.205480151,0.193847063,NA
ENSDARG00000023678,568.5872142,0.221660498,0.193873092,0.542307009
ENSDARG00000074591,133.8610368,-0.245042093,0.193919441,0.542330533
ENSDARG00000030914,470.0647605,0.141876957,0.193934737,0.542330533
ENSDARG00000080531,52.88660605,-0.289275175,0.193976107,NA
ENSDARG00000062987,1213.297042,-0.137758531,0.194102951,0.542726449
ENSDARG00000070162,1635.870336,0.140380564,0.194206141,0.542940467
ENSDARG00000077198,24.93814209,-0.295331164,0.194210983,NA
ENSDARG00000075643,1283.006717,0.261834232,0.194256774,0.543007514
ENSDARG00000077516,451.8806655,-0.165270566,0.194331035,0.543112674
ENSDARG00000000837,1186.341167,0.101846773,0.194347706,0.543112674
ENSDARG00000079010,36.13017047,-0.295424146,0.194402201,NA
ENSDARG00000059177,1869.467409,-0.149835265,0.194488906,0.543432728
ENSDARG00000088008,672.6206668,-0.13789471,0.194565789,0.543573009
ENSDARG00000079468,89.92410923,0.263020967,0.194621258,NA
ENSDARG00000070491,95.82195914,0.265358499,0.194662827,0.543769549
ENSDARG00000095094,324.7709779,0.238865742,0.194722145,0.543860685
ENSDARG00000021177,1306.195998,-0.178052882,0.194767682,0.54391331
ENSDARG00000058522,283.9693525,-0.192819145,0.194844095,0.544052135
ENSDARG00000025071,1853.316933,0.1149245,0.194930013,0.544217459
ENSDARG00000084958,11.46113399,-0.283808427,0.194962508,NA
ENSDARG00000003795,22410.96685,-0.076650284,0.194965818,0.544242847
ENSDARG00000037794,58.85287403,0.266875574,0.194979379,NA
ENSDARG00000087698,43.93877965,-0.293745267,0.194984112,NA
ENSDARG00000043410,220.412619,0.18946973,0.195006265,0.544252519
ENSDARG00000061773,213.1241285,0.288265504,0.195033488,0.544252519
ENSDARG00000087834,80.20373853,-0.229171993,0.195045631,NA
ENSDARG00000036473,241.0902877,-0.256462335,0.195089046,0.544252519
ENSDARG00000094101,278.0990533,-0.205674842,0.19511746,0.544252519
ENSDARG00000060094,410.9213633,-0.212726448,0.19512409,0.544252519
ENSDARG00000002333,406.2201861,0.177289104,0.195132178,0.544252519
ENSDARG00000087224,64.78936658,-0.257878091,0.195139492,NA
ENSDARG00000090703,602.6847089,0.1097926,0.195156265,0.544252519
ENSDARG00000035178,1006.649372,-0.174245488,0.195214063,0.5443392
ENSDARG00000038981,733.154494,0.206542031,0.195262735,0.544400415
ENSDARG00000034195,7212.818905,-0.108138315,0.195426412,0.544776058
ENSDARG00000096382,860.9741094,-0.150141904,0.195450944,0.544776058
ENSDARG00000073724,937.5639635,0.131940444,0.195569794,0.545017401
ENSDARG00000087652,402.6678988,-0.146236871,0.195602865,0.545017401
ENSDARG00000078354,22.51236852,-0.293636898,0.195621132,NA
ENSDARG00000094673,4057.247904,-0.089010198,0.195627543,0.545017401
ENSDARG00000018325,902.1640976,-0.114346097,0.195644529,0.545017401
ENSDARG00000080273,1344.891328,0.093367956,0.195705475,0.545074612
ENSDARG00000080188,14.16612327,-0.288709013,0.195733611,NA
ENSDARG00000039048,329.1421422,0.28676962,0.195743825,0.545074612
ENSDARG00000094860,262.5320403,0.24565354,0.195745322,0.545074612
ENSDARG00000041750,242.799283,0.208287139,0.19577506,0.545082924
ENSDARG00000059418,56.07240598,-0.269009039,0.195810612,NA
ENSDARG00000057741,411.3805513,-0.219320016,0.195822034,0.545098327
ENSDARG00000060093,1070.524222,0.13801095,0.195834098,0.545098327
ENSDARG00000090013,673.7806782,-0.107173524,0.195912391,0.545241765
ENSDARG00000017388,2439.648891,-0.142054723,0.196004111,0.545422531
ENSDARG00000091799,149.3591665,0.265229426,0.196050617,0.545477444
ENSDARG00000090674,77.58464012,0.253568753,0.196090725,NA
ENSDARG00000043235,996.3012334,-0.121998234,0.196138906,0.545648581
ENSDARG00000059469,574.0939184,-0.158794364,0.196262666,0.545918336
ENSDARG00000063475,211.9158268,0.170218593,0.196312478,0.545972867
ENSDARG00000020812,17.96090122,0.293618492,0.196349776,NA
ENSDARG00000002797,13.45246421,0.190294617,0.196358566,NA
ENSDARG00000055400,267.7793019,0.210516533,0.196360283,0.545972867
ENSDARG00000086979,129.3724024,-0.205376115,0.196387095,0.545972867
ENSDARG00000054076,114.5033135,0.235738801,0.196389455,0.545972867
ENSDARG00000077652,66.13156022,0.251244324,0.196518291,NA
ENSDARG00000070485,350.507277,-0.181282915,0.196598613,0.546479774
ENSDARG00000039117,1545.479661,0.155905346,0.196633028,0.546500878
ENSDARG00000087463,9.152445581,-0.271268014,0.196658006,NA
ENSDARG00000011693,1118.581526,-0.129681374,0.196730481,0.546621648
ENSDARG00000089456,765.3066614,0.227751766,0.196741479,0.546621648
ENSDARG00000058041,2693.097759,-0.098858204,0.196756965,0.546621648
ENSDARG00000017571,4565.550581,-0.117086636,0.196792799,0.546627245
ENSDARG00000068993,708.5810384,-0.149172264,0.196812637,0.546627245
ENSDARG00000077479,14.93379478,0.264988754,0.196844071,NA
ENSDARG00000028581,565.2905628,0.127469076,0.196869403,0.546710385
ENSDARG00000004745,1088.092149,0.223825368,0.196902659,0.546719047
ENSDARG00000057863,588.065496,-0.198039384,0.196926188,0.546719047
ENSDARG00000027749,1193.718219,-0.120824604,0.197004871,0.546862976
ENSDARG00000037025,1319.930371,-0.157298158,0.197088032,0.547019296
ENSDARG00000092299,7.399561859,-0.196552012,0.197188304,NA
ENSDARG00000075632,19.82897863,0.290853996,0.197203077,NA
ENSDARG00000009438,1999.49912,0.147792205,0.197242342,0.547373022
ENSDARG00000070380,9.724399319,-0.255076457,0.197247401,NA
ENSDARG00000069074,20654.70243,0.103711885,0.197310049,0.547486346
ENSDARG00000035570,537.5111863,-0.127079868,0.197393779,0.547585537
ENSDARG00000058015,972.0132891,0.138845225,0.197399547,0.547585537
ENSDARG00000089919,819.6060044,-0.137647582,0.19755586,0.547944549
ENSDARG00000076787,544.1902035,0.161116762,0.19763376,0.548003665
ENSDARG00000007383,1071.622002,0.121262396,0.197653823,0.548003665
ENSDARG00000044404,145.8860423,-0.245919182,0.197657862,0.548003665
ENSDARG00000074738,62.35430526,0.25337777,0.197711687,NA
ENSDARG00000057403,1597.69656,-0.103016923,0.197754011,0.548195644
ENSDARG00000026757,579.20097,-0.173988511,0.19783611,0.54830572
ENSDARG00000093627,1938.660808,0.149678322,0.197847541,0.54830572
ENSDARG00000079744,20.38916674,-0.291465043,0.197856145,NA
ENSDARG00000016724,255.3596213,0.164543343,0.197909499,0.548339462
ENSDARG00000033259,1179.961695,-0.133082652,0.197913541,0.548339462
ENSDARG00000051746,533.1140087,0.24092112,0.197957385,0.548366867
ENSDARG00000093572,2894.638629,-0.088331,0.197985848,0.548366867
ENSDARG00000094793,8.993314167,-0.283763297,0.19799716,NA
ENSDARG00000087008,118.0672658,-0.253057275,0.198020186,0.548366867
ENSDARG00000006642,1818.121762,-0.226713562,0.198031087,0.548366867
ENSDARG00000090563,8.536298862,-0.192245219,0.198094978,NA
ENSDARG00000093466,8.536298862,-0.192245219,0.198094978,NA
ENSDARG00000022340,968.8407647,-0.213243889,0.198116178,0.548527942
ENSDARG00000056400,33.5754276,0.292461251,0.198165527,NA
ENSDARG00000088409,253.3768204,-0.174833172,0.198184333,0.548642091
ENSDARG00000059634,935.0865984,-0.225936706,0.198260625,0.548760673
ENSDARG00000008279,225.959431,-0.176778959,0.198281034,0.548760673
ENSDARG00000014287,1742.009358,0.182049327,0.198308632,0.548762512
ENSDARG00000055183,156.7538187,0.248479943,0.198347177,0.548794641
ENSDARG00000096011,107.6216399,0.287790693,0.198505343,0.54915421
ENSDARG00000028163,1367.467455,0.119497384,0.198531038,0.54915421
ENSDARG00000013690,91.98047042,0.24655784,0.198545186,NA
ENSDARG00000090684,58.22971639,-0.269288252,0.198554582,NA
ENSDARG00000039007,35381.57307,0.117740803,0.198563862,0.549170447
ENSDARG00000069855,4843.370888,0.079791857,0.198635965,0.549287879
ENSDARG00000090876,276.4292918,0.194064529,0.198663483,0.549287879
ENSDARG00000059367,6508.775404,-0.083382296,0.198722171,0.549287879
ENSDARG00000079938,1265.156851,0.22439485,0.198723983,0.549287879
ENSDARG00000091651,18.07189218,-0.292781755,0.198758243,NA
ENSDARG00000079249,299.1205337,0.226139635,0.198769482,0.549287879
ENSDARG00000067546,54.17998581,0.259322211,0.198784038,NA
ENSDARG00000016173,15052.2945,-0.146888899,0.198791422,0.549287879
ENSDARG00000078114,1126.210826,-0.260848163,0.198795034,0.549287879
ENSDARG00000016904,3560.364463,-0.097410331,0.198883455,0.549420371
ENSDARG00000014292,1180.640576,-0.088744444,0.198896916,0.549420371
ENSDARG00000011581,1220.855679,0.222742441,0.198962419,0.549526812
ENSDARG00000093502,159.0956671,0.269677364,0.19907647,0.549749167
ENSDARG00000055969,970.9898959,-0.162389481,0.199096888,0.549749167
ENSDARG00000069435,97.97913003,0.234197786,0.199183665,0.549914251
ENSDARG00000051874,785.8908924,-0.121606701,0.199363573,0.550336376
ENSDARG00000017115,1921.82544,-0.113067483,0.199412635,0.550359523
ENSDARG00000095991,100.1135488,0.228010503,0.199435962,0.550359523
ENSDARG00000035350,934.9488361,0.174973649,0.199452992,0.550359523
ENSDARG00000045853,328.9412509,-0.145442906,0.199484764,0.550372657
ENSDARG00000078981,393.9239761,0.18649646,0.199662874,0.550691433
ENSDARG00000023498,1028.200493,-0.150236061,0.199685405,0.550691433
ENSDARG00000076495,58.54099164,0.26498192,0.199692738,NA
ENSDARG00000025535,4535.474109,-0.12029822,0.199700872,0.550691433
ENSDARG00000044146,479.1087841,0.144242062,0.199737394,0.550691433
ENSDARG00000094694,20.78605123,0.290906595,0.199747119,NA
ENSDARG00000071450,48.72285953,0.288991664,0.199751252,NA
ENSDARG00000008068,437.2805742,-0.169247676,0.199758809,0.550691433
ENSDARG00000089724,780.1208599,0.194112548,0.199777218,0.550691433
ENSDARG00000056058,185.9437268,0.249767632,0.199789501,0.550691433
ENSDARG00000088796,10.42546397,-0.279960454,0.19982959,NA
ENSDARG00000081209,16.60021629,-0.290903793,0.199837475,NA
ENSDARG00000075713,151.2218216,0.275535307,0.200025731,0.551111647
ENSDARG00000092915,545.5842327,-0.156339585,0.200040842,0.551111647
ENSDARG00000060445,287.0519234,-0.201240514,0.200073761,0.551111647
ENSDARG00000091010,285.1644687,-0.160174503,0.20008268,0.551111647
ENSDARG00000021046,227.3607526,0.202155245,0.200108503,0.551111647
ENSDARG00000058679,329.2114071,-0.179671176,0.20011164,0.551111647
ENSDARG00000089725,16.41267733,0.233954403,0.200125303,NA
ENSDARG00000073820,585.1432868,-0.22656855,0.200131292,0.551111647
ENSDARG00000024017,592.6635651,-0.136263263,0.200182967,0.551179453
ENSDARG00000043480,311.4329873,-0.253949451,0.200231629,0.551238947
ENSDARG00000067545,777.1188299,-0.146297137,0.20026436,0.551253167
ENSDARG00000035761,4750.857599,-0.154905162,0.200322437,0.551253167
ENSDARG00000056847,759.7930439,0.104736931,0.20032862,0.551253167
ENSDARG00000054898,3206.301987,0.204151902,0.200345016,0.551253167
ENSDARG00000090996,751.8950028,-0.1712957,0.200412728,0.55136502
ENSDARG00000005908,1344.727979,0.103447787,0.200453665,0.55140319
ENSDARG00000091897,121.3911509,0.278404893,0.200579193,0.551443304
ENSDARG00000084925,38.66590757,-0.269201192,0.200621017,NA
ENSDARG00000094364,77.62730531,0.270614726,0.200624904,NA
ENSDARG00000087663,110.70503,0.202675949,0.200630281,0.551443304
ENSDARG00000043665,1362.803595,-0.128630468,0.200648092,0.551443304
ENSDARG00000004169,4794.577332,-0.172280811,0.200682185,0.551443304
ENSDARG00000061508,326.5934666,-0.178767968,0.200691613,0.551443304
ENSDARG00000030975,825.3412378,-0.129450319,0.200694791,0.551443304
ENSDARG00000093559,119.324276,0.225137853,0.200700105,0.551443304
ENSDARG00000027689,2323.81794,-0.181608247,0.200720686,0.551443304
ENSDARG00000004262,717.1504483,-0.275548997,0.200739231,0.551443304
ENSDARG00000004529,63.85368072,0.265611306,0.20074379,NA
ENSDARG00000091923,9.990401312,-0.247107043,0.200747143,NA
ENSDARG00000086792,1627.953406,0.145689114,0.200755106,0.551443304
ENSDARG00000010432,997.6920069,-0.211324537,0.20076596,0.551443304
ENSDARG00000096059,9.496469774,-0.182405526,0.200833343,NA
ENSDARG00000021573,632.1500738,0.21802231,0.200839762,0.55157166
ENSDARG00000046053,629.8767967,0.278656169,0.200873226,0.551589217
ENSDARG00000089815,12.38601518,0.232526059,0.20087535,NA
ENSDARG00000013240,704.3835617,-0.119582425,0.200905455,0.551603374
ENSDARG00000011020,14759.98954,-0.103785283,0.201000669,0.551749252
ENSDARG00000067752,324.8451634,0.171901823,0.201012746,0.551749252
ENSDARG00000011449,253.2256242,0.199234337,0.201043699,0.551759882
ENSDARG00000037514,1688.826396,-0.106867799,0.201154844,0.551990565
ENSDARG00000027310,16084.88119,0.112945269,0.201208863,0.552064446
ENSDARG00000060981,598.6617341,-0.229781207,0.201296481,0.552212913
ENSDARG00000026611,1766.577886,0.18803908,0.201317179,0.552212913
ENSDARG00000070442,1114.520058,0.188724416,0.201374067,0.552251671
ENSDARG00000004131,655.6830014,-0.172543765,0.201409549,0.552251671
ENSDARG00000088861,985.1196789,-0.227267384,0.201441687,0.552251671
ENSDARG00000008976,2251.722503,-0.161192299,0.201471725,0.552251671
ENSDARG00000004696,595.1324448,-0.175852886,0.20149692,0.552251671
ENSDARG00000054867,2170.981623,-0.144565576,0.201520637,0.552251671
ENSDARG00000024092,1156.636545,0.191773916,0.201538022,0.552251671
ENSDARG00000022045,1736.59182,-0.181948948,0.201548144,0.552251671
ENSDARG00000084090,17.66667884,-0.277354021,0.201610222,NA
ENSDARG00000044815,149.4248218,0.224564476,0.201668986,0.552477168
ENSDARG00000045658,2276.603988,-0.123232877,0.201712229,0.552477168
ENSDARG00000036629,37076.91136,0.06162731,0.201726375,0.552477168
ENSDARG00000055502,3477.152763,0.098570624,0.201745287,0.552477168
ENSDARG00000014946,154.7670896,0.207681922,0.201782051,0.552477168
ENSDARG00000042005,698.0818957,-0.165229621,0.201797579,0.552477168
ENSDARG00000061532,322.17413,0.207835217,0.201835558,0.552477168
ENSDARG00000076054,1388.629299,-0.11646663,0.201847364,0.552477168
ENSDARG00000068094,80.76519251,-0.22153871,0.201900656,NA
ENSDARG00000055559,182.8669603,0.211774379,0.201918895,0.552598721
ENSDARG00000092755,13.5453555,0.274121881,0.202041532,NA
ENSDARG00000079525,68.98048676,-0.266848738,0.202064459,NA
ENSDARG00000030778,31.97158478,0.267939236,0.202126943,NA
ENSDARG00000036483,81.30449915,-0.260876844,0.202168509,NA
ENSDARG00000093796,228.0733495,-0.283169018,0.202171721,0.55288118
ENSDARG00000055563,1093.716617,-0.168308538,0.202186354,0.55288118
ENSDARG00000040614,2837.125702,-0.10895073,0.202194159,0.55288118
ENSDARG00000095252,154.1243495,-0.276424872,0.202202358,0.55288118
ENSDARG00000008732,1741.236512,-0.20264123,0.202210204,0.55288118
ENSDARG00000020467,6145.767458,-0.154215071,0.202234127,0.55288118
ENSDARG00000071552,738.9938505,0.115562137,0.202249395,0.55288118
ENSDARG00000029036,380.2229791,-0.12618786,0.202268398,0.55288118
ENSDARG00000077559,1134.978796,-0.258472981,0.202271637,0.55288118
ENSDARG00000003151,6918.754189,-0.077464744,0.202293458,0.55288118
ENSDARG00000093083,10.1464236,0.274654214,0.202327063,NA
ENSDARG00000074487,223.6890892,-0.247315034,0.202387083,0.553024626
ENSDARG00000033707,1209.829148,0.122068413,0.202400228,0.553024626
ENSDARG00000037980,6198.616525,-0.077651339,0.202523798,0.553288064
ENSDARG00000040045,710.1658216,0.124335384,0.202555411,0.55330024
ENSDARG00000086768,2346.006568,-0.160074897,0.202627774,0.553376559
ENSDARG00000021065,268.9316362,0.24697205,0.202664445,0.553376559
ENSDARG00000034693,544.6368927,0.144974371,0.202664829,0.553376559
ENSDARG00000090871,332.3254833,-0.154787508,0.202834923,0.553766791
ENSDARG00000089523,128.0797963,-0.220891951,0.202941772,0.553928897
ENSDARG00000053210,2964.472417,0.094432549,0.202948673,0.553928897
ENSDARG00000060539,851.0320334,0.190519938,0.203033613,0.554018418
ENSDARG00000055159,537.1714078,0.208570019,0.203054662,0.554018418
ENSDARG00000004687,3313.394539,-0.17888241,0.203067603,0.554018418
ENSDARG00000055332,34.0353376,-0.288998936,0.203081153,NA
ENSDARG00000056462,813.4649586,0.281594938,0.203090236,0.554018418
ENSDARG00000087256,31.96172656,0.289937654,0.203186836,NA
ENSDARG00000077608,76.73473054,0.279830333,0.20318863,NA
ENSDARG00000079133,209.096102,-0.167945595,0.203202263,0.554157007
ENSDARG00000045096,1958.106872,0.194224961,0.203214096,0.554157007
ENSDARG00000089519,155.2435551,-0.212045894,0.203222633,0.554157007
ENSDARG00000087946,63.06382943,0.269707116,0.203275773,NA
ENSDARG00000076250,201.3282911,-0.168720661,0.203277525,0.554232515
ENSDARG00000071889,67.64148055,0.247175359,0.203367373,NA
ENSDARG00000086762,249.1912016,0.216018809,0.203406137,0.554493182
ENSDARG00000075198,930.1138409,-0.099987674,0.20342756,0.554493182
ENSDARG00000053954,1563.63031,-0.250441946,0.203529456,0.55465163
ENSDARG00000059270,139.3322947,-0.201413593,0.203540134,0.55465163
ENSDARG00000084871,9.90894206,0.258604877,0.203584684,NA
ENSDARG00000041399,77.62475276,0.268459759,0.203619771,NA
ENSDARG00000069321,99.06019994,-0.242109812,0.203645197,0.554705573
ENSDARG00000056461,390.1698004,-0.129635906,0.203661148,0.554705573
ENSDARG00000075140,134.0802195,-0.217091984,0.2036691,0.554705573
ENSDARG00000070254,12.5420884,0.288936354,0.203675415,NA
ENSDARG00000043482,14.09626043,-0.231855981,0.203684319,NA
ENSDARG00000078664,14.79794528,-0.283527715,0.203706885,NA
ENSDARG00000079779,157.0287655,-0.224864812,0.203729022,0.554705573
ENSDARG00000011246,469.55951,-0.187194026,0.203770859,0.554705573
ENSDARG00000077021,16.63712527,0.288579546,0.203804236,NA
ENSDARG00000088493,151.9779139,0.244943841,0.203822457,0.554705573
ENSDARG00000008703,660.4810801,-0.123182456,0.203874897,0.554705573
ENSDARG00000074059,2378.958762,-0.085297732,0.203882199,0.554705573
ENSDARG00000067920,1774.213438,-0.167294882,0.203900828,0.554705573
ENSDARG00000042747,841.8759136,-0.099067804,0.203907995,0.554705573
ENSDARG00000074680,974.8148417,0.183153799,0.203924508,0.554705573
ENSDARG00000095566,16.57546345,0.286374144,0.203961652,NA
ENSDARG00000019300,808.8561492,-0.115815276,0.203982676,0.554705573
ENSDARG00000090422,386.9512712,0.146988774,0.203982755,0.554705573
ENSDARG00000091267,45.00261321,0.287313746,0.204030548,NA
ENSDARG00000086150,499.0381001,-0.162711204,0.204030815,0.554705573
ENSDARG00000091114,2603.299399,-0.122130884,0.204040985,0.554705573
ENSDARG00000035163,156.3789286,0.288637106,0.204051539,0.554705573
ENSDARG00000036344,866.0376067,0.154863125,0.204063803,0.554705573
ENSDARG00000001785,234.4681809,-0.192345425,0.204068438,0.554705573
ENSDARG00000043446,814.9364237,0.107343058,0.204077201,0.554705573
ENSDARG00000052454,74.64481607,0.224134005,0.20412298,NA
ENSDARG00000035773,900.074988,0.133990671,0.20414387,0.554812771
ENSDARG00000092115,15384.36729,-0.242375365,0.204253915,0.554974082
ENSDARG00000019000,8110.78298,-0.111960224,0.2042577,0.554974082
ENSDARG00000062146,1834.51024,-0.154479672,0.204302514,0.554974424
ENSDARG00000090178,8.382247567,0.181074941,0.204310888,NA
ENSDARG00000039400,487.6261477,-0.237724095,0.204312302,0.554974424
ENSDARG00000015831,515.052337,-0.18979464,0.20436706,0.5550075
ENSDARG00000059507,330.0752903,0.158046876,0.204378958,0.5550075
ENSDARG00000014550,285.1533138,0.196704969,0.204439786,0.555098698
ENSDARG00000040942,549.1295546,0.20602555,0.204534233,0.55523374
ENSDARG00000085713,1525.968167,0.081853795,0.204544022,0.55523374
ENSDARG00000006207,3704.095541,-0.207626186,0.204601644,0.555316172
ENSDARG00000024587,1859.508233,0.104652967,0.204762932,0.55549909
ENSDARG00000018285,2122.312769,0.099683771,0.204777178,0.55549909
ENSDARG00000042927,1106.62835,-0.16100191,0.20477776,0.55549909
ENSDARG00000028249,353.8079422,-0.145117557,0.204786688,0.55549909
ENSDARG00000085424,18.63678906,0.247577386,0.204794917,NA
ENSDARG00000087291,18.63678906,0.247577386,0.204794917,NA
ENSDARG00000091210,18.63678906,0.247577386,0.204794917,NA
ENSDARG00000019045,1517.602215,-0.144368453,0.204805358,0.55549909
ENSDARG00000069916,1086.690562,-0.240137894,0.204847195,0.555538613
ENSDARG00000032218,577.2074852,0.273689343,0.204942337,0.55564254
ENSDARG00000079139,95.87556574,-0.256482558,0.204986399,0.55564254
ENSDARG00000091381,252.9741882,-0.249972691,0.205002,0.55564254
ENSDARG00000094278,161.909109,-0.237157341,0.205027042,0.55564254
ENSDARG00000011376,1708.626696,0.146092331,0.205042134,0.55564254
ENSDARG00000040067,24.16224211,0.287696947,0.205042435,NA
ENSDARG00000079216,310.7226582,0.184099316,0.205049142,0.55564254
ENSDARG00000036505,747.133216,0.188634791,0.205146237,0.555804679
ENSDARG00000028748,4538.042058,-0.122630971,0.205163533,0.555804679
ENSDARG00000026247,248.1881984,0.224433046,0.205199002,0.555826864
ENSDARG00000095892,11.43264775,0.233804808,0.205237624,NA
ENSDARG00000013729,4802.23403,-0.149521149,0.205244064,0.55586001
ENSDARG00000013950,227.3488059,-0.219905245,0.205265802,0.55586001
