id,baseMean,log2FoldChange,pvalue,padj
ENSDARG00000090903,317.4277507,0.981086293,1.33E-07,3.22E-05
ENSDARG00000095939,678.2679402,1.057315743,1.38E-07,3.30E-05
ENSDARG00000025465,799.4214381,-0.446691625,1.70E-07,4.03E-05
ENSDARG00000094696,1045.553018,0.722829594,2.13E-07,4.99E-05
ENSDARG00000036809,3141.297902,-0.359547427,2.28E-07,5.28E-05
ENSDARG00000038428,3181.820383,-0.37230321,2.43E-07,5.57E-05
ENSDARG00000044132,6441.42132,-0.265939034,3.00E-07,6.77E-05
ENSDARG00000012013,342.2824204,-0.614190838,3.02E-07,6.77E-05
ENSDARG00000056762,6227.802231,0.510821752,3.36E-07,7.45E-05
ENSDARG00000070028,687.3546418,-0.555422001,3.41E-07,7.46E-05
ENSDARG00000013522,8813.539924,1.000603463,3.52E-07,7.64E-05
ENSDARG00000052626,619.9922438,0.892931571,3.66E-07,7.86E-05
ENSDARG00000088875,13676.71883,0.347349994,3.76E-07,7.94E-05
ENSDARG00000013050,905.8534122,0.672117664,3.78E-07,7.94E-05
ENSDARG00000061120,4033.318507,0.860953382,4.21E-07,8.76E-05
ENSDARG00000009449,1266.879478,-0.589129479,4.26E-07,8.77E-05
ENSDARG00000068681,680.1979223,0.579189078,4.36E-07,8.88E-05
ENSDARG00000086628,13890.00955,0.343390186,4.49E-07,9.05E-05
ENSDARG00000088788,9569.527569,0.473021501,4.53E-07,9.05E-05
ENSDARG00000087324,5698.026331,0.551072782,4.76E-07,9.42E-05
ENSDARG00000091397,935.6205506,-0.420375054,5.44E-07,0.000106531
ENSDARG00000069375,1107.960447,1.099867562,5.85E-07,0.000113489
ENSDARG00000044086,786.0173638,0.716527892,5.98E-07,0.000114995
ENSDARG00000042513,265.3145302,1.082749431,6.39E-07,0.000121636
ENSDARG00000019917,2978.889028,0.576180407,7.03E-07,0.000132717
ENSDARG00000020239,772.7258098,0.910205008,7.12E-07,0.000133158
ENSDARG00000042953,1719.462694,0.743169324,7.66E-07,0.000141809
ENSDARG00000069630,4086.27094,0.752949289,7.99E-07,0.000146612
ENSDARG00000060350,4971.717599,0.82603579,8.20E-07,0.000149252
ENSDARG00000088390,338.9364868,0.834662557,8.58E-07,0.000154735
ENSDARG00000056191,382.9467159,0.547536177,1.01E-06,0.000180997
ENSDARG00000002129,178.0936296,0.939906645,1.02E-06,0.000180997
ENSDARG00000006797,11046.31529,-0.688143362,1.07E-06,0.000188473
ENSDARG00000038401,1882.142732,0.598241522,1.10E-06,0.000191562
ENSDARG00000074071,1451.901185,0.459297053,1.13E-06,0.000195356
ENSDARG00000094458,48.36284451,-0.990287855,1.14E-06,NA
ENSDARG00000091706,23.90665358,-1.062215006,1.14E-06,NA
ENSDARG00000013430,27890.96637,0.43172447,1.15E-06,0.000196363
ENSDARG00000069831,6729.191079,0.473277497,1.19E-06,0.000201299
ENSDARG00000078129,36.91658684,1.104681718,1.19E-06,NA
ENSDARG00000003803,83.23595658,0.983993418,1.56E-06,NA
ENSDARG00000056541,437.2124449,0.516668071,1.62E-06,0.000273495
ENSDARG00000095360,574.5133548,0.512842827,1.70E-06,0.00028358
ENSDARG00000075188,1858.001736,-0.330405758,1.75E-06,0.000289586
ENSDARG00000042931,18329.55498,0.22705177,1.81E-06,0.000298023
ENSDARG00000079078,724633.8523,0.575473682,1.83E-06,0.000298384
ENSDARG00000093303,823.045585,0.584463926,2.08E-06,0.00033572
ENSDARG00000077322,25.91597513,1.051170573,2.20E-06,NA
ENSDARG00000090346,988.9105711,0.68775292,2.31E-06,0.000371261
ENSDARG00000090647,24.19466048,-1.034952844,2.34E-06,NA
ENSDARG00000042780,36575.1955,-0.714728076,2.45E-06,0.000390244
